"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Transportation and Communications","Taipei City","Taipei Wanda Rd. Post Office","No.524, Wanda Rd., Wanhua Dist., Taipei 108-72, Taiwan (R.O.C.)","25.019064","121.497017"
"Ministry of Finance","Taipei City","Wanhua Branch of Land Bank","1F., No.205, Sec. 2, Siyuan Rd., Wanhua District, Taipei City 10864, Taiwan (R.O.C.)","25.0273648","121.4945267"
"Ministry of Finance","Taipei City","Chang Hwa Bank, Hsimen Branch","No.169-2, Xining S. Rd., Wanhua Dist., Taipei City 10844, Taiwan (R.O.C.)","25.043012","121.506855"
"Ministry of Finance","Taipei City","Hsimen Branch, Hua Nan Commercial Bank","No.173, Hsi Ning South Rd., Taipei City, Taiwan (R.O.C.)","25.042973","121.505957"
"Ministry of Finance","Taipei City","Ximen Branch of First Commercial Bank","No.52, Xining S. Rd., Wanhua Dist., Taipei City 108, Taiwan (R.O.C.)","25.044101","121.506085"
"Ministry of Finance","Taipei City","Shuangyuan Branch, Hua Nan commercial Bank","No.127, Xizang Rd., Taipei City, Taiwan (R.O.C.)","25.029656","121.502051"
"Ministry of Transportation and Communications","Taipei City","Taipei Xiyuan Post Office","No.156, Sec. 2, Changsha St., Wanhua Dist., Taipei 108-47, Taiwan (R.O.C.)","25.04071","121.501037"
"Ministry of Culture","Taipei City","2F Restaurent","No.505, Sec. 4, Ren_ai Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.039252","121.559854"
"Ministry of Culture","Taipei City","B1 Lobby","No.505, Sec. 4, Ren_ai Rd., Xinyi Dist., Taipei City 110, Taiwan (R.O.C.)","25.039252","121.559854"
"Ministry of Finance","Taipei City","Sinyi Branch, Taipei National Tax Administration, M.O.F.","4F, No. 15, Section 5, Xinyi Road, Taipei City., Taiwan (R.O.C.)","25.033289","121.566947"
