"Ministry","City/country","Name","Address","Latitude","Longitude"
"Ministry of Transportation and Communications","Taipei City","The Legislative Yuan Main Gate Reception Room","No.1, Chungshan S. Rd., Taipei City 10051, Taiwan (R.O.C.)","25.043965","121.519581"
"Ministry of Education","Taipei City","National Central Library 2F Reference Reading Room","No.20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567"
"Ministry of Education","Taipei City","National Central Library 5F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567"
"Ministry of Education","Taipei City","National Central Library 6F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567"
"Ministry of Education","Taipei City","National Central Library B1 Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567"
"Ministry of Education","Taipei City","National Central Library 2F Reading Room","20, Chung-Shan S. Rd., Taipei, Taiwan (R.O.C.)","25.03717","121.516567"
"Ministry of Education","Taipei City","The entrance area of Howard Buffet Restaurant, National Theater","No.21-1, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036675","121.519046"
"Ministry of Education","Taipei City","The front area of Ticket Office, National Concert Hall","No.21-1, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036675","121.519046"
"Ministry of Culture","Taipei City","Dajhong Gate and Dasiao Gate Service desk in indoor","No.21, Zhongshan S.Rd., Zhongzheng Dist.,Taipei City 10048, Taiwan (R.O.C.)","25.0347299","121.521932"
"Ministry of Education","Taipei City","Ministry of Education First floor Lobby","No.5, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 10051, Taiwan (R.O.C.)","25.042749","121.51915"
"Ministry of Education","Taipei City","Ministry of Education Front Square","No.5, Zhongshan S. Rd., Zhongzheng Dist., Taipei City 10051, Taiwan (R.O.C.)","25.042749","121.51915"
"Ministry of Education","Taipei City","Main Building East site) 1F Lobby","No.7, Chung Shan S. Rd.(Zhongshan S. Rd.), Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041049","121.518552"
"Ministry of Economic Affairs","Taipei City","Bureau of Mines, MOEA","5F., No.53, Sec. 1, Zhonghua Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.043418","121.508875"
"Environmental Protection Administration, Executive Yuan","Taipei City","Reception Room(Environmental Protection Administration, Executive Yuan)","1F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672"
"Environmental Protection Administration, Executive Yuan","Taipei City","Reporters Room(Environmental Protection Administration, Executive Yuan)","3F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672"
"Environmental Protection Administration, Executive Yuan","Taipei City","Meeting Room(Environmental Protection Administration, Executive Yuan)","4F., No. 83, Zhonghua Rd. Sec. 1, Zhongzheng District, Taipei City 10042, Taiwan (R.O.C.)","25.038559","121.507672"
"Ministry of Finance","Taipei City","Zhong Hua Road Branch, Hua Nan Commercial Bank","No.59, Sec.2, Zhonghua Rd., Taipei City, Taiwan (R.O.C.)","25.034672","121.506085"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 10th Floor","10F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 11th Floor","11F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 12th Floor","12F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 13th Floor","13F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 14th Floor","14F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 15th Floor","15F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 16th Floor","16F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 17th Floor","17F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 18th Floor","18F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 19th Floor","19F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"National Communications Commission","Taipei City","MOTC and NCC office Building 1-Floor, Exbition Hall","1F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038181","121.524786"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 20th Floor","20F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 21th Floor","21F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 2th Floor","2F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, 3th Floor","3F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"National Communications Commission","Taipei City","MOTC and NCC office building 7-Floor","8F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038113","121.524684"
"National Communications Commission","Taipei City","MOTC and NCC office building 8-Floor","8F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038113","121.524684"
"National Communications Commission","Taipei City","MOTC and NCC office building 9-Floor","9F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038113","121.524684"
"Ministry of Transportation and Communications","Taipei City","Transportation Communications Tower, B2th Floor","B2F., No.50, Sec. 1, Ren_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038201","121.524791"
"Ministry of Transportation and Communications","Taipei City","NCC Service Center","1F,No.50, Sec. 1, Ren_ai Rd., Zhongzheng District, Taipei City 100, Taiwan (R.O.C.)","25.038181","121.524786"
"Financial Supervisory Commission, R.O.C.","Taipei City","The SHANGHAI COMMERCIAL & SAVINGS BANK, LTD.Jen Ai Branch","No.16, Jen Ai Rd., Sec. 2, Taipei City, Taiwan (R.O.C.)","25.038053","121.526237"
"Ministry of Justice","Taipei City","Specified numbers of Prosecutors of the Supreme Court Prosecutors Office","4F., No.3, Sec. 1, Xinyi Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.037167","121.521334"
"Ministry of Finance","Taipei City","Chang Hwa Bank, Tungmen Branch","1F., No.139, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 10064, Taiwan (R.O.C.)","25.034155","121.529225"
"Ministry of Transportation and Communications","Taipei City","Taipei Dongmen Post Office","No.163, Sec. 2, Xinyi Rd., Zhongzheng Dist., Taipei City 100-64, Taiwan (R.O.C.)","25.03407","121.528913"
"Ministry of Finance","Taipei City","Sin Yi Branch, Hua Nan commercial Bank","No.183, Sec.2, Xinyi Rd., Taipei City, Taiwan (R.O.C.)","25.033953","121.529453"
"Ministry of Transportation and Communications","Taipei City","Taipei Nanyang Post Office","No.8, Xinyang St., Zhongzheng Dist., Taipei 100-47, Taiwan (R.O.C.)","25.044665","121.515998"
"Ministry of Culture","Taipei City","Information Center, Huashan Creative Park","No.1,Section 1 Bader Rd., Taipei City 100, Taiwan (R.O.C.)","25.044152","121.529415"
"Ministry of Health and Welfare","Taipei City","Affiliated Outpatient Center(Gong Yuan Road)Taipei , National health Inseurance Administration","1F., No.15-1, Gongyuan Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.044786","121.517406"
"Ministry of Health and Welfare","Taipei City","National Health Inseurance Administration-Taipei Division(Gong Yuan Road)","5F., No.15-1, Gongyuan Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.044786","121.517406"
"Ministry of Transportation and Communications","Taipei City","Central Weather Bureau","No.64, Gongyuan Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.037472","121.514873"
"Ministry of Transportation and Communications","Taipei City","Central Weather Bureau 409 office","Rm. 409, No.64, Gongyuan Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.037511","121.514229"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Ministry of Foreign Affairs Branch","Room 129, No.2, Kaitakelan Blvd., Taipei City 10048, Taiwan (R.O.C.)","25.038998","121.516342"
"Ministry of Foreign Affairs","Taipei City","Ministry of Foreign Affairs Republic of China (Taiwan)","1F., No.2, Ketagalan Blvd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.038947","121.516346"
"Executive Yuan","Taipei City","Reception Room, Executive Yuan Headquarters","No.2, Beiping E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.046938","121.520733"
"Ministry of Culture","Taipei City","library 1F,council for Cultural Affairs","No.1,Bader Rd section 1, Taipei City 100, Taiwan (R.O.C.)","25.045507","121.526646"
"Ministry of Transportation and Communications","Taipei City","Taipei office, TIPC","Rm. 3021, 3F., No.3, Beiping E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.04692","121.521921"
"Ministry of Transportation and Communications","Taipei City","Taipei Railway Station Post Office","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","R13 ticket room, Taipei station","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Taipei station B1 southeast corner","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Taipei station B3 Ticket Gate","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","East side of the hall, Taipei station","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","West side of the hall, Taipei station","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","East ticket gate, Taipei station","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","West ticket gate, Taipei station","No.3, Beiping W. Rd., Jhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Public Relationship Unit","Suite 4101,5F,No.4,Peiping W.Road,Taipei,Taiwan,R.O.C.","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Public Relationship Unit, Taiwan Railways Administration","Suite 5007,5F,No.3,Peiping W.Road,Taipei,Taiwan,R.O.C.","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Financial procurement section PURCHASING & STORE DEPARTMENT, Taiwan Railway Administration","Room.5075,5F,No.3 PEI-PING WEST ROAD,TAIPEI, Taiwan (R.O.C.). R.O.C","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","Tra Archives","No.3, Beiping W. Rd., Jhongjheng District, Taipei City 100, Taiwan (R.O.C.)(Zip Code10041)","25.048203","121.515698"
"Ministry of Transportation and Communications","Taipei City","White Palace Performance Hall of National Taiwan Museum Nanmen Park","No.1, Sec.1, Nanchang Rd., Chungcheng District, Taipei City 100, Taiwan (R.O.C.)","25.034186","121.516118"
"Ministry of Transportation and Communications","Taipei City","Red House Exhibition Hall (1st fl.) of National Taiwan Museum Nanmen Park","No.1, Sec.1, Nanchang Rd., Chungcheng District, Taipei City 100, Taiwan (R.O.C.)","25.034186","121.516118"
"Ministry of Transportation and Communications","Taipei City","Red House Exhibition Hall (2nd fl.) of National Taiwan Museum Nanmen Park","No.1, Sec.1, Nanchang Rd., Chungcheng District, Taipei City 100, Taiwan (R.O.C.)","25.034186","121.516118"
"Ministry of Transportation and Communications","Taipei City","Administration Building of National Taiwan Museum Nanmen Park","No.1, Sec.1, Nanchang Rd., Chungcheng District, Taipei City 100, Taiwan (R.O.C.)","25.034186","121.516118"
"Ministry of Transportation and Communications","Taipei City","Taipei Guting Post Office","No.232, Sec. 2, Nanchang Rd., Zhongjheng Dist., Taipei 100-84, Taiwan (R.O.C.)","25.023685","121.524667"
"Ministry of Finance","Taipei City","FirstBank_Nanmen","No.94, Sec.1, Nanchang Rd., Zhongzheng Dist., Taipei City 10075, Taiwan (R.O.C)","25.030508","121.517691"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 1F Press Room","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 2F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture","No.37 Nanhai Road, Taipei, Taiwan (R.O.C.) 10014, R. O. C","25.031717","121.513317"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 3F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 4F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 5FL","No.37, Nanhai Road, Taipei, Taiwan (R.O.C.) 10014, R. O. C","25.031717","121.513317"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 5FR","No.37, Nanhai Road, Taipei, Taiwan (R.O.C.) 10014, R. O. C","25.031717","121.513317"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 6F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 7F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 8F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Council of Agriculture, Executive Yuan","Taipei City","Council of Agriculture, Executive Yuan 9F","No.37, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03222","121.513156"
"Ministry of Finance","Taipei City","The Export-Import Bank of the Republic of China","8F., No.3, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.032835","121.516836"
"Ministry of Education","Taipei City","National Education Radio","No.41,Nan-hi Road, Taipei City, Taiwan (R.O.C.)","25.031779","121.512333"
"Ministry of Education","Taipei City","National Taiwan Arts Education Center Nan Hai Academy Conference Room II","No.43, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.0323","121.5121"
"Ministry of Education","Taipei City","National Taiwan Arts Education Center Library","No.43, Nanhai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.031945","121.51449"
"Ministry of Education","Taipei City","National Taiwan Arts Education Center Nan Hai Theater","No.47, Nanhai Road, Taipei City, Taiwan (R.O.C.)","25.0316","121.5117"
"Ministry of Transportation and Communications","Taipei City","Taipei Museum of History Post Office","No.49, Nanhai Rd., Jhongjheng Dist., Taipei 100-66, Taiwan (R.O.C.)","25.031454","121.511227"
"Ministry of Culture","Taipei City","The Museum_s outdoor space","49 Nan Hai Road, Taipei City 100, Taiwan (R.O.C.)","25.031454","121.511227"
"Council of Agriculture, Executive Yuan","Taipei City","Bu-Cheng-Shih-Sz Museum","No.53, Nan-Hai Road, Taipei, Taiwan (R.O.C.)","25.031211","121.510191"
"Council of Agriculture, Executive Yuan","Taipei City","Taiwan Forestry Research Institute","No.53, Nan-Hai Road, Taipei, Taiwan (R.O.C.)","25.031211","121.510191"
"Taiwan High Court","Taipei City","Taiwan High Court Criminal Appeals","No.127, Bo_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03824","121.5113"
"Ministry of Justice","Taipei City","Taiwan High Prosecutors Office","No.124, Sec. 1, Chongqing S. Rd., Zhongzheng District,Taipei City 100, Taiwan (R.O.C.)","25.041953","121.513059"
"Taiwan High Court","Taipei City","Taiwan Taipei District Court Service Office","No.131, Bo_ai Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036986","121.511106"
"Ministry of Justice","Taipei City","Taipei District Prosecutors Office","No.131,Bo_ai Rd., Taipei City 100, Taiwan (R.O.C.).","25.036729","121.511059"
"Ministry of Transportation and Communications","Taipei City","Academia Historica Post Office","No.168-1, Bo-ai Rd., Zhongzheng Dist., Taipei 100-48, Taiwan (R.O.C.)","25.039177","121.51098"
"Ministry of Finance","Taipei City","Taipei Branch of Land Bank","1F., No.72, Bo-ai Rd., Jhongjheng District, Taipei City 10043, Taiwan (R.O.C.)","25.044783","121.511316"
"Ministry of Finance","Taipei City","Chen Nei Branch, Hua Nan Commercial Bank","No. 93, Boai Rd.,Taipei City, Taiwan (R.O.C.)","25.04309","121.509647"
"Council of Agriculture, Executive Yuan","Taipei City","Aerial Servey Office, Forestry Bureau","1F., No.100, Sec. 2, Heping W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.029948","121.509722"
"Council of Agriculture, Executive Yuan","Taipei City","Library in Taipei Office 6F of Fisheries Agency","Library,6F., No.100, Sec. 2, Heping W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.030153","121.509427"
"Council of Agriculture, Executive Yuan","Taipei City","Conference Room in Taipei Office 7F of Fisheries Agency","Rm. 701, 7F., No.100, Sec. 2, Heping W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.030153","121.509427"
"Council of Agriculture, Executive Yuan","Taipei City","Conference Room in Taipei Office 8F of Fisheries Agency","Rm. 801, 8F., No.100, Sec. 2, Heping W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.030153","121.509427"
"Ministry of Transportation and Communications","Taipei City","Taipei Longkou Post Office","No.68, Sec. 2, Heping Dist. W. Rd., Jhongjheng Dist., Taipei 100-70, Taiwan (R.O.C.)","25.029124","121.511537"
"Executive Yuan","Taipei City","Reception Center of Spokesperson_s Office, Executive Yuan","No.2, Tianjin St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.046469","121.5218"
"Ministry of Economic Affairs","Taipei City","State-owned Enterprises Commission Ministry Of Economic Affairs 1F","1F., No.25, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041418","121.510962"
"Ministry of Economic Affairs","Taipei City","State-owned Enterprises Commission Ministry Of Economic Affairs 4F","4F., No.25, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041438","121.511064"
"Ministry of Economic Affairs","Taipei City","State-owned Enterprises Commission Ministry Of Economic Affairs 5F","5F., No.25, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041438","121.511064"
"Ministry of Economic Affairs","Taipei City","State-owned Enterprises Commission Ministry Of Economic Affairs 6F","6F., No.25, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041438","121.511064"
"Ministry of Economic Affairs","Taipei City","State-owned Enterprises Commission Ministry Of Economic Affairs 7F","7F., No.25, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041438","121.511064"
"Council for Economic Planning and Development","Taipei City","Baoqing Office, National Development Council","No.3, Baoqing Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.041179","121.513385"
"Ministry of Transportation and Communications","Taipei City","Taipei Yingqiao Post Office","No.76, Xiamen St., Zhongjheng Dist., Taipei 100-83, Taiwan (R.O.C.)","25.0246","121.517365"
"Ministry of the Interior","Taipei City","Taipei City Service Center, National Immigration Agency","1F., No.15, Guangzhou St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.035965","121.508918"
"Ministry of the Interior","Taipei City","Police Redio Station Broadcasti Service","No.17, Guangzhou St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.0358843","121.5076351"
"Ministry of Transportation and Communications","Taipei City","Taipei Nanmen Post Office","No.2, Guangjhou St., Jhongjheng Dist., Taipei 100-65, Taiwan (R.O.C.)","25.034924","121.510324"
"Directorate-General of Budget, Accounting and Statistics","Taipei City","DGBAS_Main","No.2, Guangzhou St., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.03501","121.510342"
"National Communications Commission","Taipei City","NCC Northern Regional Regulatory Dept.","2F., No.143, Yanping S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.036358","121.508097"
"Ministry of Education","Taipei City","National Central Library_s Arts and Audiovisual Center","NO.156, Yanping S. Rd., Taipei, Taiwan (R.O.C.)","25.038755","121.508403"
"Ministry of the Interior","Taipei City","National Conscription Agency Ministry Of The Interior(Taipei Offiec)","1F., No.45, Yanping S. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.04502","121.510472"
"Ministry of the Interior","Taipei City","The Conference Room","No.5, Xuzhou Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.04239","121.519473"
"Ministry of Education","Taipei City","YDA","14F, No.5, XuZhou Road, Zhongzheng Dist., Taipei City 10055, Taiwan (R.O.C.)","25.042004","121.519421"
"Central Election Commission","Taipei City","1rd. Floor, South Tower, Joint Central Government Office Building","1F., No.5, Xuzhou Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.04221","121.51947"
"Overseas Compatriot Affairs Commission","Taipei City","3rd. Floor, South Tower, Joint Central Government Office Building","3F., No.5, Xuzhou Rd., Zhongzheng Dist., Taipei City 10055, Taiwan (R.O.C.)","25.04221","121.51947"
"Ministry of the Interior","Taipei City","Ministry of the Interior","No.5, Xuzhou Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.0422099","121.51947"
"Ministry of Transportation and Communications","Taipei City","Taipei Jhonglian Post Office","B 1, No. 5, Syujhou Rd., Jhongjheng Dist., Taipei 100-55, Taiwan (R.O.C.)","25.0410436","121.5221584"
"Directorate-General of Budget, Accounting and Statistics","Taipei City","DGBAS_EY","No.1, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.046147","121.520933"
"Executive Yuan","Taipei City","History of the Executive Yuan","No.1, Sec. 1, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.046667","121.520891"
"Ministry of the Interior","Taipei City","National Police Agency","No.7, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.045246","121.522512"
"Ministry of Finance","Taipei City","Mega International Commercial Bankd Co.,Ltd. Central Branch","No.123, Sec.2, Jhongsiao E. Rd., Taipei City 10058, Taiwan (R.O.C.)","25.042616","121.532508"
"Ministry of Finance","Taipei City","Mega International Commercial Bank Co.,Planning Department,10F","10F.,No.123, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.042616","121.532508"
"Ministry of Finance","Taipei City","Mega International Commercial Bank Co.,Debt Management Department,13F","13F.,No.123, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.042616","121.532508"
"Ministry of Finance","Taipei City","Mega International Commercial Bank Co.,General Affairs Department,4F","4F.,No.123, Sec. 2, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.042616","121.532508"
"Ministry of Finance","Taipei City","FirstBank_Zhongxiaolu","No.94, Sec.2, Zhongxiao E. Rd., Zhongzheng Dist., Taipei City 10053, Taiwan (R.O.C.)","25.0428524","121.5300941"
"Ministry of Transportation and Communications","Taipei City","Taipei Beimen Post Office-1","No.114, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 100-12, Taiwan (R.O.C.) ( R.O.C.)","25.047296","121.512154"
"Ministry of Transportation and Communications","Taipei City","Taipei Beimen Post Office-2","No.114, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 100-12, Taiwan (R.O.C.) ( R.O.C.)","25.047296","121.512154"
"Ministry of Transportation and Communications","Taipei City","Taipei Beimen Post Office-3","No.114, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 100-12, Taiwan (R.O.C.) ( R.O.C.)","25.047296","121.512154"
"Ministry of Transportation and Communications","Taipei City","Taipei Beimen Post Office-4","No.114, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 100-12, Taiwan (R.O.C.) ( R.O.C.)","25.047296","121.512154"
"Ministry of Transportation and Communications","Taipei City","Taipei Beimen Post Office-5","No.114, Sec. 1, Zhongxiao W. Rd., Zhongzheng Dist., Taipei 100-12, Taiwan (R.O.C.) ( R.O.C.)","25.047296","121.512154"
"Ministry of Transportation and Communications","Taipei City","Taipei Fuxing Bridge Post Office","No.1, Sec. 1,Zhongxiao W. Rd., Zhongjheng Dist., Taipei 100-41, Taiwan (R.O.C.)","25.046021","121.51941"
"Ministry of Finance","Taipei City","Ministry Of Finance Hall(8F)","No.2, Aiguo W. Rd., Zhongzheng Dist., Taipei City 100, Taiwan (R.O.C.)","25.034623","121.515559"
"Ministry of Finance","Taipei City","Hsinsheng Branch, Hua Nan Commercial Bank","No.48, Sec.1, Hsinsheng South Rd., Taipei City, Taiwan (R.O.C.)","25.042312","121.532671"
